Season,TEAM_ID,TEAM_NAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
2013-14,1610612738,Boston Celtics,1223,2097,0.583,326,914,0.357,872,2142,0.407,80,220,0.364,87,211,0.412,408,1282,0.318,0,15,0
2013-14,1610612751,Brooklyn Nets,1136,1858,0.611,440,1018,0.432,646,1593,0.406,100,236,0.424,90,244,0.369,518,1421,0.365,0,20,0
2013-14,1610612766,Charlotte Bobcats,1251,2137,0.585,405,936,0.433,804,2186,0.368,54,155,0.348,64,159,0.403,398,1137,0.35,0,17,0
2013-14,1610612741,Chicago Bulls,1245,2209,0.564,282,811,0.348,808,2098,0.385,75,173,0.434,52,161,0.323,378,1105,0.342,3,20,0.15
2013-14,1610612739,Cleveland Cavaliers,1158,2064,0.561,452,1113,0.406,842,2138,0.394,92,226,0.407,68,203,0.335,424,1191,0.356,0,19,0
2013-14,1610612742,Dallas Mavericks,1274,2000,0.637,443,1086,0.408,811,1894,0.428,93,224,0.415,69,162,0.426,558,1477,0.378,0,14,0
2013-14,1610612743,Denver Nuggets,1508,2482,0.608,390,1096,0.356,547,1504,0.364,107,241,0.444,98,250,0.392,497,1448,0.343,0,21,0
2013-14,1610612765,Detroit Pistons,1721,2826,0.609,406,1148,0.354,548,1570,0.349,82,222,0.369,80,181,0.442,344,1152,0.299,0,24,0
2013-14,1610612744,Golden State Warriors,1295,2089,0.62,489,1211,0.404,678,1668,0.406,119,286,0.416,87,216,0.403,568,1514,0.375,0,21,0
2013-14,1610612745,Houston Rockets,1638,2621,0.625,450,1075,0.419,251,728,0.345,98,251,0.39,103,268,0.384,573,1645,0.348,1,11,0.091
2013-14,1610612754,Indiana Pacers,1129,1910,0.591,444,1090,0.407,826,2031,0.407,74,180,0.411,87,212,0.41,389,1135,0.343,0,14,0
2013-14,1610612746,Los Angeles Clippers,1414,2088,0.677,307,809,0.379,794,1898,0.418,111,297,0.374,128,294,0.435,451,1357,0.332,1,11,0.091
2013-14,1610612747,Los Angeles Lakers,1248,2035,0.613,435,1113,0.391,682,1800,0.379,107,266,0.402,100,243,0.412,566,1511,0.375,0,6,0
2013-14,1610612763,Memphis Grizzlies,1371,2259,0.607,581,1390,0.418,765,1927,0.397,56,164,0.341,64,161,0.398,284,805,0.353,1,17,0.059
2013-14,1610612748,Miami Heat,1523,2241,0.68,329,702,0.469,625,1499,0.417,122,302,0.404,176,395,0.446,366,1128,0.324,1,5,0.2
2013-14,1610612749,Milwaukee Bucks,1326,2351,0.564,361,978,0.369,717,1854,0.387,62,158,0.392,49,145,0.338,437,1244,0.351,0,5,0
2013-14,1610612750,Minnesota Timberwolves,1587,2655,0.598,353,905,0.39,649,1858,0.349,85,254,0.335,48,147,0.327,465,1340,0.347,1,14,0.071
2013-14,1610612740,New Orleans Pelicans,1457,2561,0.569,409,1076,0.38,749,1821,0.411,59,154,0.383,60,158,0.38,367,971,0.378,0,20,0
2013-14,1610612752,New York Knicks,1128,1890,0.597,247,662,0.373,893,2147,0.416,94,249,0.378,77,182,0.423,588,1588,0.37,0,21,0
2013-14,1610612760,Oklahoma City Thunder,1342,2116,0.634,386,939,0.411,802,1887,0.425,87,252,0.345,70,195,0.359,507,1375,0.369,0,17,0
